GrLivArea,BedroomAbvGr,TotalBath
1314,3,1.0
1571,3,2.5
796,2,1.0
1768,3,1.5
1691,3,2.0
894,3,1.0
1560,3,2.5
1154,3,1.0
1422,3,2.0
1496,3,2.0
913,3,1.0
1086,3,1.0
1601,3,2.0
1986,3,2.5
1164,3,1.5
2267,4,2.5
2259,3,2.0
825,2,1.0
1426,3,1.5
1651,3,2.0
789,2,1.0
2634,6,3.0
1576,3,1.0
1484,3,2.5
1200,2,2.0
1250,2,2.5
1902,3,2.0
1040,2,2.0
1502,3,2.0
1228,3,1.5
1268,3,1.0
864,2,1.0
1686,3,2.0
1620,3,2.0
858,2,1.0
1301,2,2.0
1505,2,1.0
864,3,1.0
1224,2,1.0
1383,3,1.0
816,3,1.0
1344,2,2.0
1392,2,2.0
1065,3,1.5
1250,3,2.0
1452,2,2.0
1096,2,1.0
1428,3,2.0
1658,3,2.5
864,3,1.0
1928,5,2.0
1537,3,1.5
1863,4,2.5
2007,3,2.5
1792,2,2.0
968,2,1.0
2654,4,2.5
960,0,0.0
2775,3,3.5
2643,3,2.5
1646,2,2.0
1298,3,2.0
1694,3,2.0
958,2,1.0
999,3,1.0
1020,2,1.0
1674,3,2.5
2113,2,2.5
2030,4,2.5
1217,3,1.5
2169,3,2.5
1850,3,2.5
1144,3,1.5
1504,2,2.0
1309,3,1.5
1258,2,1.0
1422,3,1.0
1442,4,1.5
1200,3,1.0
1664,3,2.5
1360,3,1.0
1414,3,2.5
1342,3,2.0
1118,3,1.0
2345,4,2.5
1844,3,2.0
987,2,1.5
1610,3,2.0
1080,3,1.5
1622,3,1.0
1511,3,2.5
1152,3,1.0
1558,4,1.5
1911,3,2.5
1306,2,1.0
2138,2,2.0
2466,4,3.0
1734,3,1.5
1158,3,1.0
1771,3,1.0
958,2,2.0
1828,3,2.0
1716,3,1.5
2713,3,2.5
1367,3,1.0
1826,4,1.5
1200,3,2.0
1382,2,1.5
1456,3,2.5
2448,4,2.5
1964,4,1.5
1092,3,1.0
1113,3,1.0
864,3,1.0
1804,3,2.5
1632,4,2.0
2614,4,2.5
1314,2,2.0
1923,3,2.5
1484,3,2.0
708,2,1.0
1713,3,2.0
1269,3,1.5
2097,1,1.5
864,3,1.0
2184,3,2.5
1624,2,2.0
1040,3,1.0
2035,3,2.5
1494,2,1.5
1314,2,2.0
1743,3,2.0
2127,4,2.5
1716,6,2.0
1358,2,2.0
1430,3,2.5
1221,2,2.0
2094,4,2.5
864,3,1.0
1053,3,1.5
1701,3,2.0
1056,3,1.0
1163,3,1.0
1665,3,2.5
1196,3,1.0
3140,4,3.5
1682,3,2.0
1072,2,1.0
1547,3,2.5
1905,3,2.0
1661,3,2.5
1350,3,1.5
1845,3,2.5
1601,3,1.0
1498,3,2.5
1947,3,2.5
1098,3,1.0
1054,3,1.5
928,3,1.0
1820,4,2.0
3082,5,2.5
1788,5,1.0
1022,2,1.0
1274,3,2.0
2504,4,2.5
2153,3,2.5
2031,3,2.5
1824,3,1.0
1008,2,1.0
694,2,1.0
1728,4,2.0
1588,3,2.0
1392,3,1.5
4476,4,3.5
1969,3,2.5
1504,1,2.0
1276,3,1.0
1800,2,2.0
816,3,1.0
1040,2,1.0
924,3,1.0
832,2,1.0
1886,4,2.5
2196,3,2.0
1039,3,1.5
1271,4,2.0
1367,4,1.0
2093,3,2.5
864,3,1.0
2447,4,2.0
1054,3,1.0
1120,3,1.0
1616,3,2.0
1073,3,1.5
1389,2,1.0
861,1,1.0
1135,3,1.0
2828,4,3.0
1616,2,2.0
